Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
10,4,0,4,8,yes,yes,yes,shell programming,cloud computing,no,yes,excellent,excellent,cloud computing,system developer,higherstudies,Web Services,no,no,Prayer books,salary,no,stubborn,Management,salary,hard worker,yes,no,Database
12,7,1,2,3,yes,no,yes,machine learning,database security,no,no,poor,medium,networks,Business process analyst,job,SAaS services,yes,yes,Childrens,salary,yes,gentle,Technical,salary,hard worker,no,yes,Computer Science
11,1,4,1,3,yes,no,yes,app development,web technologies,no,yes,poor,excellent,hacking,developer,higherstudies,Sales and Marketing,yes,yes,Travel,Work,no,stubborn,Management,work,hard worker,no,yes,Computer Science
7,1,1,2,5,no,yes,no,python,data science,yes,no,medium,excellent,networks,testing,higherstudies,Testing and Maintainance Services,no,no,Romance,Work,yes,gentle,Management,work,smart worker,yes,yes,Database
4,5,4,6,3,no,no,no,app development,cloud computing,no,no,poor,excellent,Computer Architecture,testing,higherstudies,product development,no,yes,Cookbooks,salary,no,stubborn,Management,work,hard worker,yes,yes,Analytics
11,5,3,8,1,yes,yes,no,python,database security,no,no,poor,medium,programming,system developer,job,Testing and Maintainance Services,yes,yes,Self help,salary,no,stubborn,Management,work,smart worker,yes,no,Computer Science
6,3,2,3,3,no,no,yes,r programming,cloud computing,no,no,excellent,poor,parallel computing,security,job,BPA,no,no,Drama,Work,yes,gentle,Technical,salary,hard worker,yes,yes,Database
12,2,1,6,6,yes,no,no,r programming,cloud computing,no,yes,poor,excellent,parallel computing,developer,higherstudies,BPA,no,no,Romance,salary,no,stubborn,Technical,salary,smart worker,no,no,Analytics
10,5,2,4,8,no,yes,no,information security,testing,yes,no,poor,poor,IOT,developer,higherstudies,BPA,no,no,Math,Work,no,gentle,Technical,work,hard worker,yes,yes,Analytics
10,9,0,5,4,no,no,yes,app development,data science,yes,yes,excellent,poor,data engineering,Business process analyst,job,product development,no,no,Religion-Spirituality,Work,yes,gentle,Management,salary,hard worker,yes,no,Computer Science
